q EQ,i EQ,q ME,i ME
0.055212,0.000000,0.055212,0.000000
0.060837,0.000000,0.060837,0.000000
0.066462,0.000000,0.066462,0.000000
0.072087,0.840426,0.072087,0.375001
0.077712,1.071338,0.077712,0.306960
0.083337,1.825529,0.083337,0.708523
0.088963,2.604323,0.088963,1.536469
0.094588,3.626709,0.094588,1.124475
0.100213,10.028937,0.100213,0.981426
0.105838,324.355621,0.105838,1.148659
0.111463,3010.742432,0.111463,1.350211
0.117088,7458.759277,0.117088,1.218655
0.122713,9028.650391,0.122713,1.148594
0.128338,8781.999023,0.128338,2.299559
0.133963,8632.511719,0.133963,8.187134
0.139589,8579.755859,0.139589,37.281700
0.145214,8491.194336,0.145214,166.683655
0.150839,8186.827148,0.150839,603.107178
0.156464,7698.692383,0.156464,1028.074463
0.162089,7352.206055,0.162089,1017.316650
0.167714,6677.717285,0.167714,950.404358
0.173339,5714.631836,0.173339,890.679749
0.178964,4605.070312,0.178964,815.951599
0.184589,3367.355713,0.184589,769.369690
0.190214,2141.874023,0.190214,720.969116
0.195840,1383.604980,0.195840,666.896729
0.201465,908.408936,0.201465,614.699402
0.207090,719.929749,0.207090,571.705444
0.212715,759.860046,0.212715,536.328003
0.218340,877.075012,0.218340,505.141663
0.223965,1017.013550,0.223965,470.232910
0.229590,1169.209839,0.229590,445.845093
0.235215,1313.363159,0.235215,423.643311
0.240840,1447.575073,0.240840,397.314209
0.246466,1572.326904,0.246466,377.666168
0.252091,1708.017212,0.252091,348.578430
0.257716,1869.499756,0.257716,325.389893
0.263341,1956.468750,0.263341,309.285706
0.268966,2128.765137,0.268966,287.754395
0.274591,2340.001953,0.274591,272.283630
0.280216,2605.623291,0.280216,261.381927
0.285841,2875.033447,0.285841,248.530945
0.291466,3190.575684,0.291466,238.348099
0.297092,3569.805420,0.297092,228.895218
0.302717,4040.570557,0.302717,221.941910
0.308342,4475.870117,0.308342,209.075470
0.313967,4736.937012,0.313967,199.763840
0.319592,5174.702637,0.319592,195.024902
0.325217,5582.389160,0.325217,188.748672
0.330842,5873.748535,0.330842,180.805313
0.336467,6056.130859,0.336467,172.790955
0.342092,6124.608398,0.342092,162.523041
0.347718,6090.200684,0.347718,150.605270
0.353343,5923.228516,0.353343,141.875610
0.358968,5510.698730,0.358968,135.547867
0.364593,4994.474121,0.364593,125.074944
0.370218,4503.291016,0.370218,115.152512
0.375843,4005.884033,0.375843,110.693138
0.381468,3478.808105,0.381468,103.668709
0.387093,2955.066162,0.387093,92.781013
0.392718,2430.186279,0.392718,85.153885
0.398343,1972.504272,0.398343,81.467438
0.403969,1613.577759,0.403969,73.800644
0.409594,1278.368530,0.409594,71.419777
0.415219,994.523438,0.415219,66.531715
0.420844,787.104980,0.420844,60.637360
0.426469,634.280334,0.426469,58.853436
0.432094,507.142609,0.432094,54.543667
0.437719,400.379608,0.437719,52.317677
0.443344,322.953705,0.443344,49.590366
0.448969,261.057129,0.448969,44.803741
0.454595,212.639816,0.454595,44.570992
0.460220,174.515106,0.460220,46.375938
0.465845,153.811661,0.465845,42.706341
0.471470,142.755264,0.471470,40.110394
0.477095,142.343231,0.477095,39.745941
0.482720,158.022293,0.482720,38.634678
0.488345,189.226105,0.488345,40.650654
0.493970,231.329163,0.493970,39.591984
0.499595,286.827759,0.499595,38.695038
0.505221,360.288788,0.505221,37.976002
0.510846,435.698425,0.510846,37.909004
0.516471,508.638367,0.516471,39.853901
0.522096,574.639587,0.522096,38.096992
0.527721,652.752380,0.527721,37.804234
0.533346,714.290588,0.533346,36.646351
0.538971,763.784851,0.538971,35.633537
0.544596,801.254761,0.544596,35.131554
0.550221,828.301086,0.550221,33.087086
0.555846,842.132751,0.555846,32.397640
0.561472,842.137268,0.561472,32.698734
0.567097,829.512939,0.567097,34.988594
0.572722,805.524963,0.572722,34.955544
0.578347,782.496277,0.578347,31.986994
0.583972,760.392822,0.583972,34.000023
0.589597,736.785034,0.589597,35.414272
0.595222,706.032288,0.595222,31.957483
0.600847,677.369263,0.600847,30.357025
0.606472,646.013672,0.606472,31.027361
0.612098,617.531067,0.612098,30.879074
0.617723,581.275085,0.617723,28.865240
0.623348,559.889954,0.623348,28.291033
0.628973,538.095154,0.628973,26.096333
0.634598,515.302490,0.634598,24.674234
0.640223,497.739594,0.640223,23.186127
0.645848,476.291016,0.645848,23.594601
0.651473,456.827972,0.651473,22.335081
0.657098,436.378052,0.657098,21.458445
0.662724,413.658691,0.662724,26.403013
0.668349,381.109772,0.668349,25.222887
0.673974,347.882111,0.673974,22.105927
0.679599,315.806213,0.679599,20.664696
0.685224,281.386444,0.685224,20.965172
0.690849,247.153351,0.690849,21.940929
0.696474,216.952606,0.696474,21.039991
0.702099,186.247604,0.702099,19.755016
0.707724,155.239578,0.707724,21.212095
0.713349,129.665497,0.713349,20.204546
0.718975,105.297203,0.718975,19.923790
0.724600,90.522911,0.724600,20.621103
0.730225,80.045708,0.730225,21.543673
0.735850,70.649315,0.735850,18.700676
0.741475,60.269257,0.741475,17.490736
0.747100,59.497620,0.747100,18.366461
0.752725,60.529449,0.752725,21.910688
0.758350,60.776993,0.758350,26.701172
0.763975,61.743702,0.763975,25.394012
0.769601,64.922386,0.769601,23.706873
0.775226,71.717682,0.775226,21.529751
0.780851,77.537201,0.780851,20.668758
0.786476,86.042709,0.786476,18.388531
0.792101,94.912521,0.792101,17.586485
0.797726,102.748459,0.797726,19.176262
0.803351,112.007111,0.803351,18.405321
0.808976,121.084946,0.808976,17.514917
0.814601,130.791138,0.814601,16.061888
0.820227,140.141968,0.820227,17.648285
0.825852,149.249161,0.825852,17.627575
0.831477,156.986755,0.831477,16.189915
0.837102,165.878784,0.837102,16.756441
0.842727,172.214325,0.842727,16.022739
0.848352,180.819931,0.848352,16.971508
0.853977,187.799591,0.853977,16.608379
0.859602,188.793411,0.859602,15.147161
0.865227,187.404510,0.865227,14.370975
0.870853,187.688187,0.870853,16.334057
0.876478,182.192596,0.876478,16.934254
0.882103,177.357117,0.882103,15.823728
0.887728,172.504379,0.887728,16.338247
0.893353,163.725677,0.893353,15.322706
0.898978,156.638779,0.898978,14.630901
0.904603,148.717926,0.904603,14.787327
0.910228,138.703491,0.910228,15.006328
0.915853,129.348694,0.915853,15.489184
0.921478,121.468529,0.921478,14.165873
0.927104,112.805298,0.927104,12.763782
0.932729,102.281982,0.932729,14.692558
0.938354,93.798378,0.938354,15.236007
0.943979,87.349258,0.943979,14.100475
0.949604,80.140732,0.949604,13.376781
0.955229,73.518265,0.955229,12.661050
0.960854,70.512192,0.960854,12.316897
0.966479,67.278992,0.966479,12.321751
0.972104,61.785225,0.972104,11.791738
0.977730,58.907158,0.977730,14.016211
0.983355,56.074959,0.983355,13.751245
0.988980,52.882214,0.988980,12.170973
0.994605,51.209270,0.994605,11.580381
1.000230,49.177006,1.000230,12.768538
1.005855,47.013737,1.005855,13.098310
1.011480,48.392101,1.011480,12.833764
1.017105,48.849209,1.017105,11.661820
1.022730,49.259892,1.022730,10.987142
1.028356,50.204590,1.028356,11.565918
1.033981,49.585632,1.033981,11.970372
1.039606,49.509869,1.039606,11.732485
1.045231,50.705231,1.045231,11.844822
1.050856,54.520508,1.050856,11.472239
1.056481,55.829273,1.056481,11.089012
1.062106,55.895546,1.062106,10.755653
1.067731,59.287601,1.067731,10.079052
1.073356,63.636196,1.073356,11.110320
1.078981,64.683937,1.078981,12.973963
1.084607,64.809486,1.084607,13.000067
1.090232,66.681435,1.090232,11.168771
1.095857,69.547050,1.095857,13.338503
1.101482,72.731949,1.101482,13.433999
1.107107,74.003716,1.107107,11.867055
1.112732,74.877556,1.112732,12.742833
1.118357,77.115479,1.118357,12.448374
1.123982,78.871346,1.123982,11.101418
1.129607,80.078583,1.129607,12.558813
1.135233,80.336899,1.135233,12.533720
1.140858,80.157951,1.140858,12.290554
1.146483,82.070702,1.146483,12.680604
1.152108,81.801888,1.152108,13.439520
1.157733,82.310463,1.157733,13.304059
1.163358,83.572845,1.163358,13.421775
1.168983,84.613144,1.168983,12.389950
1.174608,84.876350,1.174608,11.805022
1.180233,83.256607,1.180233,11.328028
1.185859,83.585388,1.185859,10.217544
1.191484,81.481323,1.191484,11.813731
1.197109,79.764381,1.197109,12.044024
1.202734,81.739311,1.202734,11.804538
1.208359,81.338661,1.208359,11.442538
1.213984,79.261513,1.213984,10.884705
1.219609,79.067863,1.219609,10.359982
1.225234,78.158661,1.225234,9.874282
1.230859,75.149055,1.230859,9.762025
1.236485,73.645027,1.236485,10.210543
1.242110,71.916771,1.242110,10.319712
1.247735,69.354996,1.247735,10.868741
1.253360,67.860733,1.253360,10.773173
1.258985,66.149834,1.258985,10.878174
1.264610,65.010620,1.264610,11.568872
1.270235,64.234993,1.270235,11.939265
1.275860,62.693203,1.275860,11.489375
1.281485,60.572697,1.281485,11.091152
1.287110,59.393650,1.287110,11.148471
1.292736,56.518188,1.292736,11.755835
1.298361,55.635372,1.298361,11.947248
1.303986,55.241470,1.303986,12.112522
1.309611,53.886108,1.309611,12.223712
1.315236,52.970020,1.315236,11.313425
1.320861,49.017563,1.320861,10.629951
1.326486,46.988434,1.326486,9.353567
1.332111,46.428913,1.332111,8.981041
1.337736,43.325920,1.337736,11.213408
1.343362,42.549198,1.343362,13.096639
1.348987,41.277393,1.348987,10.677651
1.354612,37.778267,1.354612,9.290930
1.360237,36.571014,1.360237,7.609429
1.365862,37.096436,1.365862,7.215036
1.371487,35.799942,1.371487,10.060401
1.377112,32.575989,1.377112,10.625584
1.382737,31.539801,1.382737,10.139919
1.388362,31.053179,1.388362,10.136907
1.393988,29.589087,1.393988,12.367763
1.399613,27.223030,1.399613,11.993520
1.405238,25.478882,1.405238,9.239308
1.410863,24.642004,1.410863,10.547739
1.416488,24.684795,1.416488,11.796837
1.422113,24.547176,1.422113,10.726080
1.427738,22.578842,1.427738,11.679254
1.433363,22.335798,1.433363,10.557816
1.438988,20.452028,1.438988,9.394564
1.444613,20.145338,1.444613,9.030701
1.450239,20.318361,1.450239,9.001791
1.455864,19.237854,1.455864,8.224799
1.461489,19.448139,1.461489,9.150028
1.467114,19.277210,1.467114,9.944448
1.472739,19.035669,1.472739,9.293591
1.478364,19.189293,1.478364,8.771157
1.483989,20.558962,1.483989,10.341832
1.489614,20.215221,1.489614,11.949542
1.495239,17.876942,1.495239,9.683118
1.500865,16.717882,1.500865,7.825111
1.506490,16.555172,1.506490,8.799754
1.512115,16.314589,1.512115,8.746851
1.517740,15.800509,1.517740,9.219599
1.523365,17.672384,1.523365,11.353060
1.528990,17.498821,1.528990,12.104112
1.534615,18.395891,1.534615,11.523799
